gpu,model,scenario_input_len,scenario_parallel,ttft,gen_tokens_per_second,total_time,total_concurrent_time
T4_x1,Qwen3-1.7B,5000,5,3.6,32.68,7.0,7.87
T4_x1,Qwen3-1.7B,10000,1,2.26,46.23,4.43,5.06
T4_x1,Qwen3-1.7B,10000,2,3.39,31.19,6.9,7.57
T4_x1,Qwen3-1.7B,10000,5,8.04,17.08,14.83,15.8
T4_x1,Qwen3-1.7B,15000,1,4.39,46.01,6.56,7.24
T4_x1,Qwen3-1.7B,15000,2,6.58,24.71,11.53,12.21
T4_x1,Qwen3-1.7B,15000,5,14.53,12.32,26.12,27.07
T4_x1,Qwen3-1.7B,20000,1,6.96,43.05,9.28,9.95
T4_x1,Qwen3-1.7B,20000,2,10.46,20.3,17.14,17.85
T4_x1,Qwen3-1.7B,20000,5,21.99,16.08,34.83,43.34
T4_x1,Qwen3-1.7B,25000,1,10.45,39.44,12.98,13.64
T4_x1,Qwen3-1.7B,25000,2,15.67,17.0,24.55,25.28
T4_x1,Qwen3-1.7B,25000,5,33.63,13.08,46.34,62.32
T4_x1,Qwen3-1.7B,30000,1,14.68,34.69,17.56,18.37
T4_x1,Qwen3-1.7B,30000,2,21.97,14.81,33.34,34.1
T4_x1,Qwen3-1.7B,30000,5,47.5,18.4,57.26,86.12
T4_x1,Qwen3-4B,1000,1,0.36,29.49,3.75,4.42
T4_x1,Qwen3-4B,1000,2,0.62,27.68,4.24,4.92
T4_x1,Qwen3-4B,1000,5,1.18,22.79,5.62,6.63
T4_x1,Qwen3-4B,5000,1,2.3,27.32,5.96,6.58
T4_x1,Qwen3-4B,5000,2,3.45,20.13,8.65,9.37
T4_x1,Qwen3-4B,5000,5,10.21,15.46,17.86,18.79
T4_x1,Qwen3-4B,10000,1,6.31,23.83,10.51,11.17
T4_x1,Qwen3-4B,10000,2,13.17,20.0,18.17,18.94
T4_x1,Qwen3-4B,10000,5,24.41,15.81,32.55,44.41
T4_x1,Qwen3-4B,15000,1,12.5,20.52,17.38,18.02
T4_x1,Qwen3-4B,15000,2,18.72,11.2,30.81,31.51
T4_x1,Qwen3-4B,15000,5,42.28,12.97,52.99,80.83
T4_x1,Qwen3-4B,20000,1,19.33,19.57,24.44,25.17
T4_x1,Qwen3-4B,20000,2,31.91,19.18,37.12,50.35
